kemendagri_kode_provinsi;kemendagri_nama_provinsi;kemendagri_kode_kabupaten_kota;kemendagri_nama_kabupaten_kota;tahun;kategori_area;luas_areal;satuan
11;Aceh;11.06;Kabupaten Aceh Besar;2020;Tanaman menghasilkan;654.5;Hektare
11;Aceh;11.07;Kabupaten Pidie;2020;Tanaman menghasilkan;32;Hektare
11;Aceh;11.08;Kabupaten Aceh Utara;2020;Tanaman menghasilkan;12430;Hektare
11;Aceh;11.09;Kabupaten Simeulue;2020;Tanaman menghasilkan;1211;Hektare
11;Aceh;11.1;Kabupaten Aceh Singkil;2020;Tanaman menghasilkan;22771.1;Hektare
11;Aceh;11.11;Kabupaten Bireuen;2020;Tanaman menghasilkan;1920;Hektare
11;Aceh;11.12;Kabupaten Aceh Barat Daya;2020;Tanaman menghasilkan;17208.5;Hektare
11;Aceh;11.13;Kabupaten Gayo Lues;2020;Tanaman menghasilkan;0;Hektare
11;Aceh;11.14;Kabupaten Aceh Jaya;2020;Tanaman menghasilkan;8132;Hektare
11;Aceh;11.15;Kabupaten Nagan Raya;2020;Tanaman menghasilkan;37271.58;Hektare
11;Aceh;11.16;Kabupaten Aceh Tamiang;2020;Tanaman menghasilkan;17845;Hektare
11;Aceh;11.17;Kabupaten Bener Meriah;2020;Tanaman menghasilkan;333;Hektare
11;Aceh;11.18;Kabupaten Pidie Jaya;2020;Tanaman menghasilkan;360.5;Hektare
11;Aceh;11.71;Kota Banda Aceh;2020;Tanaman menghasilkan;0;Hektare
11;Aceh;11.72;Kota Sabang;2020;Tanaman menghasilkan;0;Hektare
11;Aceh;11.73;Kota Lhokseumawe;2020;Tanaman menghasilkan;116;Hektare
11;Aceh;11.74;Kota Langsa;2020;Tanaman menghasilkan;374;Hektare
11;Aceh;11.75;Kota Subulussalam;2020;Tanaman menghasilkan;11529;Hektare
11;Aceh;11.01;Kabupaten Aceh Selatan;2020;Tanaman rusak;227;Hektare
11;Aceh;11.02;Kabupaten Aceh Tenggara;2020;Tanaman rusak;229;Hektare
11;Aceh;11.03;Kabupaten Aceh Timur;2020;Tanaman rusak;1536;Hektare
11;Aceh;11.04;Kabupaten Aceh Tengah;2020;Tanaman rusak;0;Hektare
11;Aceh;11.05;Kabupaten Aceh Barat;2020;Tanaman rusak;523.12;Hektare
11;Aceh;11.06;Kabupaten Aceh Besar;2020;Tanaman rusak;177.5;Hektare
11;Aceh;11.07;Kabupaten Pidie;2020;Tanaman rusak;47;Hektare
11;Aceh;11.08;Kabupaten Aceh Utara;2020;Tanaman rusak;1026;Hektare
11;Aceh;11.09;Kabupaten Simeulue;2020;Tanaman rusak;1232;Hektare
11;Aceh;11.1;Kabupaten Aceh Singkil;2020;Tanaman rusak;3268;Hektare
11;Aceh;11.11;Kabupaten Bireuen;2020;Tanaman rusak;134;Hektare
11;Aceh;11.12;Kabupaten Aceh Barat Daya;2020;Tanaman rusak;536;Hektare
11;Aceh;11.13;Kabupaten Gayo Lues;2020;Tanaman rusak;0;Hektare
11;Aceh;11.14;Kabupaten Aceh Jaya;2020;Tanaman rusak;2992;Hektare
11;Aceh;11.15;Kabupaten Nagan Raya;2020;Tanaman rusak;4093.52;Hektare
11;Aceh;11.16;Kabupaten Aceh Tamiang;2020;Tanaman rusak;990;Hektare
11;Aceh;11.17;Kabupaten Bener Meriah;2020;Tanaman rusak;392;Hektare
11;Aceh;11.18;Kabupaten Pidie Jaya;2020;Tanaman rusak;10.5;Hektare
11;Aceh;11.71;Kota Banda Aceh;2020;Tanaman rusak;0;Hektare
11;Aceh;11.72;Kota Sabang;2020;Tanaman rusak;0;Hektare
11;Aceh;11.73;Kota Lhokseumawe;2020;Tanaman rusak;0;Hektare
11;Aceh;11.74;Kota Langsa;2020;Tanaman rusak;10;Hektare
11;Aceh;11.75;Kota Subulussalam;2020;Tanaman rusak;214;Hektare
